
2025/02/04 (17:16:28) | ===> btop++ v.1.4.0
2025/02/04 (17:16:28) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (18:01:34) | ===> btop++ v.1.4.0
2025/02/04 (18:01:34) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (18:05:40) | ===> btop++ v.1.4.0
2025/02/04 (18:05:40) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (19:52:12) | ===> btop++ v.1.4.0
2025/02/04 (19:52:12) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (19:52:56) | ===> btop++ v.1.4.0
2025/02/04 (19:52:56) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (19:53:52) | ===> btop++ v.1.4.0
2025/02/04 (19:53:52) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:07:15) | ===> btop++ v.1.4.0
2025/02/04 (20:07:15) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:07:31) | ===> btop++ v.1.4.0
2025/02/04 (20:07:31) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:09:56) | ===> btop++ v.1.4.0
2025/02/04 (20:09:56) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:10:10) | ===> btop++ v.1.4.0
2025/02/04 (20:10:10) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:11:08) | ===> btop++ v.1.4.0
2025/02/04 (20:11:08) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:13:08) | ===> btop++ v.1.4.0
2025/02/04 (20:13:08) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:13:43) | ===> btop++ v.1.4.0
2025/02/04 (20:13:43) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:14:28) | ===> btop++ v.1.4.0
2025/02/04 (20:14:28) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:17:03) | ===> btop++ v.1.4.0
2025/02/04 (20:17:03) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:17:43) | ===> btop++ v.1.4.0
2025/02/04 (20:17:43) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:19:22) | ===> btop++ v.1.4.0
2025/02/04 (20:19:22) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (20:52:16) | ===> btop++ v.1.4.0
2025/02/04 (20:52:16) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (00:15:23) | ===> btop++ v.1.4.0
2025/02/05 (00:15:23) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (00:43:08) | ===> btop++ v.1.4.0
2025/02/05 (00:43:08) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (00:43:57) | ===> btop++ v.1.4.0
2025/02/05 (00:43:57) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (13:44:32) | ===> btop++ v.1.4.0
2025/02/05 (13:44:32) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (13:44:36) | ===> btop++ v.1.4.0
2025/02/05 (13:44:36) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (19:34:10) | ===> btop++ v.1.4.0
2025/02/05 (19:34:10) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (21:25:59) | ===> btop++ v.1.4.0
2025/02/05 (21:25:59) | WARNING: Failed to join _runner thread on exit!

2025/02/06 (00:18:28) | ===> btop++ v.1.4.0
2025/02/06 (00:18:28) | WARNING: Failed to join _runner thread on exit!
